time_key,date,hour,day,week,month,quarter,year
T00001,20-05-2017 14:56,14,20,3rd Week,05,Q2,2017
T00002,30-01-2015 22:14,22,30,4th Week,01,Q1,2015
T00003,14-03-2020 02:34,02,14,2nd Week,03,Q1,2020
T00004,27-04-2018 12:19,12,27,4th Week,04,Q2,2018
T00005,14-04-2018 10:43,10,14,2nd Week,04,Q2,2018
T00006,10-02-2017 06:56,06,10,2nd Week,02,Q1,2017
T00007,06-05-2015 17:52,17,06,1st Week,05,Q2,2015
T00008,23-09-2014 13:59,13,23,4th Week,09,Q3,2014
T00009,16-04-2016 06:45,06,16,3rd Week,04,Q2,2016
T00010,26-10-2015 22:00,22,26,4th Week,10,Q4,2015
T00011,02-05-2018 16:40,16,02,1st Week,05,Q2,2018
T00012,29-11-2017 18:55,18,29,4th Week,11,Q4,2017
T00013,17-09-2014 22:46,22,17,3rd Week,09,Q3,2014
T00014,12-06-2020 08:22,08,12,2nd Week,06,Q2,2020
T00015,22-11-2018 18:52,18,22,4th Week,11,Q4,2018
T00016,21-05-2019 12:40,12,21,3rd Week,05,Q2,2019
T00017,19-03-2015 22:55,22,19,3rd Week,03,Q1,2015
T00018,28-07-2015 15:17,15,28,4th Week,07,Q3,2015
T00019,12-11-2017 11:13,11,12,2nd Week,11,Q4,2017
T00020,10-05-2016 17:47,17,10,2nd Week,05,Q2,2016
T00021,24-04-2016 04:31,04,24,4th Week,04,Q2,2016
T00022,17-06-2016 20:45,20,17,3rd Week,06,Q2,2016
T00023,05-12-2020 15:59,15,05,1st Week,12,Q4,2020
T00024,02-04-2018 11:40,11,02,1st Week,04,Q2,2018
T00025,02-08-2020 23:39,23,02,1st Week,08,Q3,2020
T00026,21-11-2016 09:26,09,21,3rd Week,11,Q4,2016
T00027,24-01-2020 19:36,19,24,4th Week,01,Q1,2020
T00028,30-03-2017 01:48,01,30,4th Week,03,Q1,2017
T00029,15-01-2020 08:34,08,15,3rd Week,01,Q1,2020
T00030,10-07-2016 16:49,16,10,2nd Week,07,Q3,2016
T00031,17-05-2016 17:25,17,17,3rd Week,05,Q2,2016
T00032,11-05-2019 07:55,07,11,2nd Week,05,Q2,2019
T00033,02-11-2016 15:04,15,02,1st Week,11,Q4,2016
T00034,07-07-2020 17:21,17,07,1st Week,07,Q3,2020
T00035,07-04-2017 17:56,17,07,1st Week,04,Q2,2017
T00036,26-04-2020 04:33,04,26,4th Week,04,Q2,2020
T00037,20-04-2017 14:16,14,20,3rd Week,04,Q2,2017
T00038,11-01-2018 09:43,09,11,2nd Week,01,Q1,2018
T00039,17-09-2015 21:33,21,17,3rd Week,09,Q3,2015
T00040,29-04-2020 22:26,22,29,4th Week,04,Q2,2020
T00041,23-04-2014 02:08,02,23,4th Week,04,Q2,2014
T00042,26-08-2015 07:08,07,26,4th Week,08,Q3,2015
T00043,09-09-2014 00:04,00,09,2nd Week,09,Q3,2014
T00044,10-07-2018 14:40,14,10,2nd Week,07,Q3,2018
T00045,19-04-2020 19:40,19,19,3rd Week,04,Q2,2020
T00046,18-03-2015 07:09,07,18,3rd Week,03,Q1,2015
T00047,29-07-2014 01:26,01,29,4th Week,07,Q3,2014
T00048,16-07-2018 22:14,22,16,3rd Week,07,Q3,2018
T00049,08-05-2015 12:54,12,08,2nd Week,05,Q2,2015
T00050,19-08-2019 23:24,23,19,3rd Week,08,Q3,2019
T00051,26-06-2017 22:01,22,26,4th Week,06,Q2,2017
T00052,29-06-2014 11:33,11,29,4th Week,06,Q2,2014
T00053,12-08-2014 04:35,04,12,2nd Week,08,Q3,2014
T00054,11-04-2015 14:17,14,11,2nd Week,04,Q2,2015
T00055,21-11-2016 20:26,20,21,3rd Week,11,Q4,2016
T00056,23-09-2014 19:25,19,23,4th Week,09,Q3,2014
T00057,10-08-2016 16:59,16,10,2nd Week,08,Q3,2016
T00058,08-08-2017 14:53,14,08,2nd Week,08,Q3,2017
T00059,24-04-2014 06:47,06,24,4th Week,04,Q2,2014
T00060,25-09-2020 20:02,20,25,4th Week,09,Q3,2020
T00061,01-07-2017 05:29,05,01,1st Week,07,Q3,2017
T00062,17-02-2016 14:51,14,17,3rd Week,02,Q1,2016
T00063,26-05-2018 23:53,23,26,4th Week,05,Q2,2018
T00064,31-01-2018 16:18,16,31,4th Week,01,Q1,2018
T00065,28-11-2019 06:38,06,28,4th Week,11,Q4,2019
T00066,20-04-2016 17:23,17,20,3rd Week,04,Q2,2016
T00067,26-06-2018 14:24,14,26,4th Week,06,Q2,2018
T00068,20-04-2014 05:31,05,20,3rd Week,04,Q2,2014
T00069,18-07-2014 21:24,21,18,3rd Week,07,Q3,2014
T00070,13-10-2016 19:07,19,13,2nd Week,10,Q4,2016
T00071,14-06-2015 00:40,00,14,2nd Week,06,Q2,2015
T00072,11-03-2019 13:12,13,11,2nd Week,03,Q1,2019
T00073,01-06-2019 06:10,06,01,1st Week,06,Q2,2019
T00074,04-11-2019 22:42,22,04,1st Week,11,Q4,2019
T00075,01-06-2017 09:25,09,01,1st Week,06,Q2,2017
T00076,30-09-2018 19:17,19,30,4th Week,09,Q3,2018
T00077,21-05-2015 03:40,03,21,3rd Week,05,Q2,2015
T00078,26-03-2014 19:45,19,26,4th Week,03,Q1,2014
T00079,26-06-2018 21:54,21,26,4th Week,06,Q2,2018
T00080,04-02-2017 20:49,20,04,1st Week,02,Q1,2017
T00081,08-04-2014 20:48,20,08,2nd Week,04,Q2,2014
T00082,03-09-2014 20:03,20,03,1st Week,09,Q3,2014
T00083,14-04-2018 02:28,02,14,2nd Week,04,Q2,2018
T00084,08-12-2019 07:22,07,08,2nd Week,12,Q4,2019
T00085,22-06-2014 01:03,01,22,4th Week,06,Q2,2014
T00086,31-05-2020 07:55,07,31,4th Week,05,Q2,2020
T00087,27-03-2015 06:06,06,27,4th Week,03,Q1,2015
T00088,15-06-2019 21:38,21,15,3rd Week,06,Q2,2019
T00089,22-07-2018 03:00,03,22,4th Week,07,Q3,2018
T00090,02-02-2017 22:17,22,02,1st Week,02,Q1,2017
T00091,20-05-2018 13:45,13,20,3rd Week,05,Q2,2018
T00092,30-08-2016 23:01,23,30,4th Week,08,Q3,2016
T00093,19-08-2015 04:44,04,19,3rd Week,08,Q3,2015
T00094,10-01-2021 20:40,20,10,2nd Week,01,Q1,2021
T00095,15-04-2017 06:59,06,15,3rd Week,04,Q2,2017
T00096,03-05-2018 02:42,02,03,1st Week,05,Q2,2018
T00097,05-11-2014 08:28,08,05,1st Week,11,Q4,2014
T00098,17-08-2015 04:35,04,17,3rd Week,08,Q3,2015
T00099,20-04-2014 06:41,06,20,3rd Week,04,Q2,2014
T00100,21-03-2018 05:51,05,21,3rd Week,03,Q1,2018
T00101,09-09-2016 02:45,02,09,2nd Week,09,Q3,2016
T00102,11-07-2016 10:08,10,11,2nd Week,07,Q3,2016
T00103,31-12-2017 08:38,08,31,4th Week,12,Q4,2017
T00104,22-10-2014 17:33,17,22,4th Week,10,Q4,2014
T00105,30-06-2017 10:14,10,30,4th Week,06,Q2,2017
T00106,16-01-2020 05:56,05,16,3rd Week,01,Q1,2020
T00107,14-05-2018 01:28,01,14,2nd Week,05,Q2,2018
T00108,12-02-2020 20:14,20,12,2nd Week,02,Q1,2020
T00109,13-08-2019 09:50,09,13,2nd Week,08,Q3,2019
T00110,04-02-2014 22:37,22,04,1st Week,02,Q1,2014
T00111,24-06-2014 11:50,11,24,4th Week,06,Q2,2014
T00112,07-09-2016 12:12,12,07,1st Week,09,Q3,2016
T00113,31-05-2018 16:46,16,31,4th Week,05,Q2,2018
T00114,23-05-2015 03:55,03,23,4th Week,05,Q2,2015
T00115,03-03-2018 08:48,08,03,1st Week,03,Q1,2018
T00116,25-09-2016 18:42,18,25,4th Week,09,Q3,2016
T00117,26-04-2015 20:14,20,26,4th Week,04,Q2,2015
T00118,12-10-2019 10:52,10,12,2nd Week,10,Q4,2019
T00119,09-07-2020 15:36,15,09,2nd Week,07,Q3,2020
T00120,02-03-2016 11:23,11,02,1st Week,03,Q1,2016
T00121,02-10-2018 20:52,20,02,1st Week,10,Q4,2018
T00122,22-03-2019 13:05,13,22,4th Week,03,Q1,2019
T00123,26-01-2016 04:39,04,26,4th Week,01,Q1,2016
T00124,12-07-2018 23:18,23,12,2nd Week,07,Q3,2018
T00125,13-05-2015 18:26,18,13,2nd Week,05,Q2,2015
T00126,20-06-2016 04:24,04,20,3rd Week,06,Q2,2016
T00127,07-02-2017 04:01,04,07,1st Week,02,Q1,2017
T00128,18-06-2017 12:03,12,18,3rd Week,06,Q2,2017
T00129,16-08-2019 10:53,10,16,3rd Week,08,Q3,2019
T00130,20-01-2021 07:25,07,20,3rd Week,01,Q1,2021
T00131,23-06-2018 07:39,07,23,4th Week,06,Q2,2018
T00132,19-08-2016 08:25,08,19,3rd Week,08,Q3,2016
T00133,29-01-2017 19:54,19,29,4th Week,01,Q1,2017
T00134,23-12-2014 05:18,05,23,4th Week,12,Q4,2014
T00135,25-09-2019 17:33,17,25,4th Week,09,Q3,2019
T00136,03-03-2014 01:57,01,03,1st Week,03,Q1,2014
T00137,01-07-2018 18:34,18,01,1st Week,07,Q3,2018
T00138,20-05-2019 20:39,20,20,3rd Week,05,Q2,2019
T00139,04-05-2018 07:42,07,04,1st Week,05,Q2,2018
T00140,07-06-2019 19:33,19,07,1st Week,06,Q2,2019
T00141,28-06-2014 00:58,00,28,4th Week,06,Q2,2014
T00142,12-05-2015 23:31,23,12,2nd Week,05,Q2,2015
T00143,30-03-2014 06:58,06,30,4th Week,03,Q1,2014
T00144,01-06-2018 12:45,12,01,1st Week,06,Q2,2018
T00145,11-01-2017 22:21,22,11,2nd Week,01,Q1,2017
T00146,24-07-2019 11:39,11,24,4th Week,07,Q3,2019
T00147,13-04-2014 17:22,17,13,2nd Week,04,Q2,2014
T00148,15-10-2014 13:30,13,15,3rd Week,10,Q4,2014
T00149,21-07-2015 11:11,11,21,3rd Week,07,Q3,2015
T00150,02-03-2020 04:14,04,02,1st Week,03,Q1,2020
T00151,18-02-2017 09:32,09,18,3rd Week,02,Q1,2017
T00152,06-04-2020 15:03,15,06,1st Week,04,Q2,2020
T00153,21-05-2017 20:59,20,21,3rd Week,05,Q2,2017
T00154,31-10-2015 22:49,22,31,4th Week,10,Q4,2015
T00155,23-07-2019 21:50,21,23,4th Week,07,Q3,2019
T00156,04-12-2015 17:03,17,04,1st Week,12,Q4,2015
T00157,29-12-2020 03:52,03,29,4th Week,12,Q4,2020
T00158,08-11-2017 08:20,08,08,2nd Week,11,Q4,2017
T00159,03-01-2020 05:38,05,03,1st Week,01,Q1,2020
T00160,10-02-2015 15:03,15,10,2nd Week,02,Q1,2015
T00161,30-11-2016 13:15,13,30,4th Week,11,Q4,2016
T00162,19-05-2017 23:59,23,19,3rd Week,05,Q2,2017
T00163,05-04-2019 10:41,10,05,1st Week,04,Q2,2019
T00164,28-05-2014 09:59,09,28,4th Week,05,Q2,2014
T00165,21-10-2020 00:26,00,21,3rd Week,10,Q4,2020
T00166,07-09-2015 23:18,23,07,1st Week,09,Q3,2015
T00167,09-02-2019 17:49,17,09,2nd Week,02,Q1,2019
T00168,14-03-2015 23:46,23,14,2nd Week,03,Q1,2015
T00169,08-07-2017 10:00,10,08,2nd Week,07,Q3,2017
T00170,08-10-2015 13:11,13,08,2nd Week,10,Q4,2015
T00171,17-10-2019 08:07,08,17,3rd Week,10,Q4,2019
T00172,20-03-2016 07:26,07,20,3rd Week,03,Q1,2016
T00173,10-03-2018 03:16,03,10,2nd Week,03,Q1,2018
T00174,20-09-2017 23:26,23,20,3rd Week,09,Q3,2017
T00175,30-06-2017 18:09,18,30,4th Week,06,Q2,2017
T00176,20-08-2016 04:36,04,20,3rd Week,08,Q3,2016
T00177,19-06-2020 12:10,12,19,3rd Week,06,Q2,2020
T00178,14-01-2018 13:51,13,14,2nd Week,01,Q1,2018
T00179,23-05-2018 21:31,21,23,4th Week,05,Q2,2018
T00180,23-05-2020 23:58,23,23,4th Week,05,Q2,2020
T00181,12-11-2014 04:30,04,12,2nd Week,11,Q4,2014
T00182,22-02-2015 07:06,07,22,4th Week,02,Q1,2015
T00183,09-05-2019 00:52,00,09,2nd Week,05,Q2,2019
T00184,12-10-2018 04:41,04,12,2nd Week,10,Q4,2018
T00185,16-03-2020 09:35,09,16,3rd Week,03,Q1,2020
T00186,28-05-2017 11:43,11,28,4th Week,05,Q2,2017
T00187,21-11-2017 07:58,07,21,3rd Week,11,Q4,2017
T00188,02-08-2019 06:51,06,02,1st Week,08,Q3,2019
T00189,10-10-2015 01:35,01,10,2nd Week,10,Q4,2015
T00190,24-11-2016 00:54,00,24,4th Week,11,Q4,2016
T00191,20-04-2019 14:26,14,20,3rd Week,04,Q2,2019
T00192,07-12-2020 12:05,12,07,1st Week,12,Q4,2020
T00193,09-12-2014 07:43,07,09,2nd Week,12,Q4,2014
T00194,15-11-2020 00:48,00,15,3rd Week,11,Q4,2020
T00195,10-04-2015 03:42,03,10,2nd Week,04,Q2,2015
T00196,12-08-2019 05:39,05,12,2nd Week,08,Q3,2019
T00197,24-08-2020 08:20,08,24,4th Week,08,Q3,2020
T00198,03-12-2017 00:42,00,03,1st Week,12,Q4,2017
T00199,08-09-2019 23:39,23,08,2nd Week,09,Q3,2019
T00200,21-11-2017 13:59,13,21,3rd Week,11,Q4,2017
T00201,14-12-2018 18:41,18,14,2nd Week,12,Q4,2018
T00202,19-02-2014 05:11,05,19,3rd Week,02,Q1,2014
T00203,06-02-2018 04:49,04,06,1st Week,02,Q1,2018
T00204,24-05-2017 06:25,06,24,4th Week,05,Q2,2017
T00205,22-05-2014 11:18,11,22,4th Week,05,Q2,2014
T00206,07-10-2017 15:01,15,07,1st Week,10,Q4,2017
T00207,01-07-2015 08:06,08,01,1st Week,07,Q3,2015
T00208,17-09-2015 03:47,03,17,3rd Week,09,Q3,2015
T00209,19-11-2018 04:55,04,19,3rd Week,11,Q4,2018
T00210,25-08-2018 05:45,05,25,4th Week,08,Q3,2018
T00211,02-03-2017 13:04,13,02,1st Week,03,Q1,2017
T00212,18-01-2019 07:10,07,18,3rd Week,01,Q1,2019
T00213,06-08-2018 05:56,05,06,1st Week,08,Q3,2018
T00214,14-09-2016 16:24,16,14,2nd Week,09,Q3,2016
T00215,17-08-2016 17:16,17,17,3rd Week,08,Q3,2016
T00216,12-05-2019 00:57,00,12,2nd Week,05,Q2,2019
T00217,27-08-2015 07:00,07,27,4th Week,08,Q3,2015
T00218,18-04-2016 14:58,14,18,3rd Week,04,Q2,2016
T00219,30-08-2014 14:46,14,30,4th Week,08,Q3,2014
T00220,07-05-2019 05:05,05,07,1st Week,05,Q2,2019
T00221,19-12-2018 21:22,21,19,3rd Week,12,Q4,2018
T00222,22-07-2017 21:44,21,22,4th Week,07,Q3,2017
T00223,31-05-2017 07:09,07,31,4th Week,05,Q2,2017
T00224,04-11-2014 15:13,15,04,1st Week,11,Q4,2014
T00225,02-04-2018 06:53,06,02,1st Week,04,Q2,2018
T00226,13-06-2014 22:42,22,13,2nd Week,06,Q2,2014
T00227,14-11-2014 19:48,19,14,2nd Week,11,Q4,2014
