names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Creed III,03/02/2023 ,73.0,"Drama, Action","After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.","Michael B. Jordan, Adonis Creed, Tessa Thompson, Bianca Taylor, Jonathan Majors, Damien Anderson, Wood Harris, Tony 'Little Duke' Evers, Phylicia Rashād, Mary Anne Creed, Mila Davis-Kent, Amara Creed, Florian Munteanu, Viktor Drago, José Benavidez Jr., Felix Chavez, Selenis Leyva, Laura Chavez",Creed III, Released, English,75000000.0,271616668.0,AU
Avatar: The Way of Water,12/15/2022 ,78.0,"Science Fiction, Adventure, Action","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","Sam Worthington, Jake Sully, Zoe Saldaña, Neytiri, Sigourney Weaver, Kiri / Dr. Grace Augustine, Stephen Lang, Colonel Miles Quaritch, Kate Winslet, Ronal, Cliff Curtis, Tonowari, Joel David Moore, Norm Spellman, CCH Pounder, Mo'at, Edie Falco, General Frances Ardmore",Avatar: The Way of Water, Released, English,460000000.0,2316794914.0,AU
The Super Mario Bros. Movie,04/05/2023 ,76.0,"Animation, Adventure, Family, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Chris Pratt, Mario (voice), Anya Taylor-Joy, Princess Peach (voice), Charlie Day, Luigi (voice), Jack Black, Bowser (voice), Keegan-Michael Key, Toad (voice), Seth Rogen, Donkey Kong (voice), Fred Armisen, Cranky Kong (voice), Kevin Michael Richardson, Kamek (voice), Sebastian Maniscalco, Spike (voice)",The Super Mario Bros. Movie, Released, English,100000000.0,724459031.0,AU
Mummies,01/05/2023 ,70.0,"Animation, Comedy, Family, Adventure, Fantasy","Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.","Óscar Barberán, Thut (voice), Ana Esther Alborg, Nefer (voice), Luis Pérez Reina, Carnaby (voice), María Luisa Solá, Madre (voice), Jaume Solà, Sekhem (voice), José Luis Mediavilla, Ed (voice), José Javier Serrano Rodríguez, Danny (voice), Aleix Estadella, Dennis (voice), María Moscardó, Usi (voice)", Momias, Released," Spanish, Castilian",12300000.0,34200000.0,AU
Supercell,03/17/2023 ,61.0,Action,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.","Skeet Ulrich, Roy Cameron, Anne Heche, Dr Quinn Brody, Daniel Diemer, William Brody, Jordan Kristine Seamón, Harper Hunter, Alec Baldwin, Zane Rogers, Richard Gunn, Bill Brody, Praya Lundberg, Amy, Johnny Wactor, Martin, Anjul Nigam, Ramesh",Supercell, Released, English,77000000.0,340941958.6,US
Cocaine Bear,02/23/2023 ,66.0,"Thriller, Comedy, Crime","Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.","Keri Russell, Sari, Alden Ehrenreich, Eddie, O'Shea Jackson Jr., Daveed, Ray Liotta, Syd, Kristofer Hivju, Olaf (Kristoffer), Margo Martindale, Ranger Liz, Christian Convery, Henry, Isiah Whitlock Jr., Bob, Jesse Tyler Ferguson, Peter",Cocaine Bear, Released, English,35000000.0,80000000.0,AU
John Wick: Chapter 4,03/23/2023 ,80.0,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Keanu Reeves, John Wick, Donnie Yen, Caine, Bill Skarsgård, Marquis de Gramont, Ian McShane, Winston, Laurence Fishburne, Bowery King, Lance Reddick, Charon, Clancy Brown, The Harbinger, Hiroyuki Sanada, Shimazu, Shamier Anderson, Mr Nobody",John Wick: Chapter 4, Released, English,100000000.0,351349364.0,AU
Puss in Boots: The Last Wish,12/26/2022 ,83.0,"Animation, Family, Fantasy, Adventure, Comedy","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","Antonio Banderas, Puss in Boots (voice), Salma Hayek, Kitty Softpaws (voice), Harvey Guillén, Perrito (voice), Wagner Moura, Wolf (voice), Florence Pugh, Goldilocks (voice), Olivia Colman, Mama Bear (voice), Ray Winstone, Papa Bear (voice), Samson Kayo, Baby Bear (voice), John Mulaney, Jack Horner (voice)",Puss in Boots: The Last Wish, Released, English,90000000.0,483480577.0,AU
Attack on Titan,09/30/2022 ,59.0,"Action, Science Fiction","As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.","Paul Bianchi, Computer (voice), Erin Coker, Allison Quince, Jack Pearson, Max Reece, Anthony Jensen, Jowers, Neli Sabour, Heidi Quince, Karan Sagoo, Adrian Naidu, Natalie Storrs, Saoirse Parker, Justin Tanks, Mark Morales, Jenny Tran, Kim Costa",Attack on Titan, Released, English,71000000.0,254946484.2,US
The Park,03/02/2023 ,58.0,"Action, Drama, Horror, Science Fiction, Thriller","A dystopian coming-of-age movie focused on three kids who find themselves in an abandoned amusement park, aiming to unite whoever remains. With dangers lurking around every corner, they will do whatever it takes to survive their hellish Neverland.","Chloe Guidry, Ines, Nhedrick Jabier, Bui, Carmina Garay, Kuan, Billy Slaughter, Martin Parker, Carli McIntyre, Rue, Laura Coover, Reporter, Presley Richardson, Bennett, Sean Papajohn, Jack, Legend Jay Jones, Slingshot Gang",The Park, Released, English,119200000.0,488962491.0,US
Winnie the Pooh: Blood and Honey,02/14/2023 ,58.0,"Horror, Thriller","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.","Craig David Dowsett, Pooh Bear, Chris Cordell, Piglet, Amber Doig-Thorne, Alice, Natasha Tosini, Lara, Maria Taylor, Maria, Nikolai Leon, Christopher Robin, May Kelly, Tina, Danielle Ronald, Zoe, Danielle Scott, Charlene",Winnie the Pooh: Blood and Honey, Released, English,100000.0,3200000.0,AU
The Exorcist,11/02/2022 ,55.0,Horror,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.","María Evoli, Ofelia, Diana Bracho, , Tina Romero, Julia, Norma Lazareno, Señora Ramirez, Pilar Santacruz, Sandra, Salvador Sánchez, Señor Ramirez, Julio Bracho, Padre Victor, Ramón Medína, Fabian", La Exorcista, Released," Spanish, Castilian",12000000.0,428214478.0,MX
Murder Mystery 2,03/31/2023 ,65.0,"Comedy, Mystery, Action","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.","Adam Sandler, Nick, Jennifer Aniston, Audrey, Mark Strong, Miller, Mélanie Laurent, Claudette, Jodie Turner-Smith, Countess Sekou, John Kani, Colonel Ulenga, Kuhoo Verma, Saira, Dany Boon, Inspector Delacroix, Adeel Akhtar, The Maharajah",Murder Mystery 2, Released, English,43800000.0,489543087.4,AU
Black Panther: Wakanda Forever,11/10/2022 ,73.0,"Action, Adventure, Science Fiction","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.","Letitia Wright, Shuri / Black Panther, Lupita Nyong'o, Nakia, Danai Gurira, Okoye, Winston Duke, M'Baku, Dominique Thorne, Riri Williams / Ironheart, Tenoch Huerta Mejía, Namor, Angela Bassett, Ramonda, Florence Kasumba, Ayo, Michaela Coel, Aneka",Black Panther: Wakanda Forever, Released, English,250000000.0,854041058.0,AU
The Pope's Exorcist,04/06/2023 ,72.0,"Horror, Mystery","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","Russell Crowe, Father Gabriele Amorth, Daniel Zovatto, Father Esquibel, Alex Essoe, Julia, Franco Nero, The Pope, Laurel Marsden, Amy, Cornell John, Bishop Lumumba, Ralph Ineson, Demon (voice), River Hawkins, Enzo, Pablo Raybould, Bishop Barbuto",The Pope's Exorcist, Released, English,92000000.0,462216471.8,AU
Prizefighter: The Life of Jem Belcher,07/22/2022 ,62.0,"Drama, History","At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.","Matt Hookings, Jem Belcher, Ray Winstone, Bill Warr, Jodhi May, Mary Belcher, Marton Csokas, Lord Rushworth, Russell Crowe, Jack Slack, Steven Berkoff, Walter, Julian Glover, Lord Ashford",Prizefighter: The Life of Jem Belcher, Released, English,77600000.0,562112551.0,GB
Knock at the Cabin,02/02/2023 ,64.0,"Thriller, Mystery, Horror, Fantasy","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","Dave Bautista, Leonard, Jonathan Groff, Eric, Ben Aldridge, Andrew, Kristen Cui, Wen, Nikki Amuka-Bird, Sabrina, Rupert Grint, Redmond, Abby Quinn, Adriane, Clare Louise Frost, Infomercial Co-Host, McKenna Kerrigan, Andrew's Mom",Knock at the Cabin, Released, English,20000000.0,54629497.0,AU
The Devil Conspiracy,01/13/2023 ,65.0,"Horror, Thriller","The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.","Alice Orr-Ewing, Laura, Joe Doyle, Father Marconi / Michael, Eveline Hall, Liz, Peter Mensah, Archangel Michael, Joe Anderson, Lucifer, Brian Caspe, Dr. Laurent, Spencer Wilding, Beast of the Ground, James Faulkner, Cardinal Vincini, Victoria Chilap, Brenda",The Devil Conspiracy, Released, English,54060000.0,492646395.4,US
Cazadora,01/19/2023 ,57.0,Thriller,"In a dystopian future, a mother and her teenage son go hunting in the mountains and encounter a stranger who threatens to upend their relationship.","Natalia Reddersen, Rena, Willy Semler, Salvador, Alexandra Von Hummel, Emilia, Felipe Valenzuela, Mateo",Cazadora, Released," Spanish, Castilian",110400000.0,318117812.6,CL
Gold Run,12/15/2022 ,65.0,"War, Action, Adventure, Thriller","Fredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire Norwegian gold reserve away from the Nazis during the invasion of Norway.","Jon Øigarden, Fredrik Haslund, Ida Elise Broch, Nini Haslund Gleditsch, Sven Nordin, Odd Henry, Eivind Sander, Major Bjørn Sunde, Axel Bøyum, Ingvar, Morten Svartveit, Nordahl Grieg, Anatole Taubman, Major Otto Stoltmann, Thorbjørn Harr, Oscar Torp, Gard B. Eidsvold, Andreas Lund", Gulltransporten, Released, Norwegian,123500000.0,420430064.8,NO
The Magician's Elephant,03/17/2023 ,73.0,"Animation, Adventure, Family, Fantasy","Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His one one question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.","Noah Jupe, Peter (voice), Mandy Patinkin, Vilna (voice), Brian Tyree Henry, Leo Matienne (voice), Natasia Demetriou, Narrator / Fortune Teller (voice), Sian Clifford, Gloria Matienne (voice), Benedict Wong, Magician (voice), Miranda Richardson, Madam LaVaughn (voice), Kirby Howell-Baptiste, The Countess (voice), Aasif Mandvi, The King (voice)",The Magician's Elephant, Released, English,82600000.0,473097256.6,AU
Plane,01/27/2023 ,69.0,"Action, Adventure, Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.","Gerard Butler, Brodie Torrance, Mike Colter, Louis Gaspare, Yoson An, Dele, Tony Goldwyn, Scarsdale, Daniella Pineda, Bonnie, Paul Ben-Victor, Hampton, Remi Adeleke, Shellback, Joey Slotnick, Sinclair, Evan Dane Taylor, Junmar",Plane, Released, English,25000000.0,51000000.0,GB
The Passion of the Christ,02/25/2004 ,74.0,Drama,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,"Jim Caviezel, Jesus, Maia Morgenstern, Maria, Christo Jivkov, Juan, Francesco De Vito, Pedro, Monica Bellucci, Magdalena, Mattia Sbragia, Caifás, Toni Bertorelli, Anás, Luca Lionello, Judas, Hristo Shopov, Poncio Pilato",The Passion of the Christ, Released, English,25000000.0,622313635.0,AU
